category,subcategory,title,price,prod_url,image_url,description,reviews,rating,important_detail,source_page
Computers,Laptops,Packard 255 G2,416.99,https://webscraper.io/test-sites/e-commerce/static/product/31,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2,2,HDD (128 / 256 / 512 / 1024),1
Computers,Laptops,Aspire E1-510,306.99,https://webscraper.io/test-sites/e-commerce/static/product/32,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2,3,HDD (128 / 256 / 512 / 1024),1
Computers,Laptops,ThinkPad T540p,1178.99,https://webscraper.io/test-sites/e-commerce/static/product/33,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2,1,HDD (128 / 256 / 512 / 1024),1
Computers,Laptops,ProBook,739.99,https://webscraper.io/test-sites/e-commerce/static/product/34,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8,4,HDD (128 / 256 / 512 / 1024),1
Computers,Laptops,ThinkPad X240,1311.99,https://webscraper.io/test-sites/e-commerce/static/product/35,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",12,3,HDD (128 / 256 / 512 / 1024),1
Computers,Laptops,Aspire E1-572G,581.99,https://webscraper.io/test-sites/e-commerce/static/product/36,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2,1,HDD (128 / 256 / 512 / 1024),1
Computers,Laptops,ThinkPad Yoga,1033.99,https://webscraper.io/test-sites/e-commerce/static/product/37,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13,2,HDD (128 / 256 / 512 / 1024),2
Computers,Laptops,Pavilion,609.99,https://webscraper.io/test-sites/e-commerce/static/product/38,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4,1,HDD (128 / 256 / 512 / 1024),2
Computers,Laptops,Inspiron 15,745.99,https://webscraper.io/test-sites/e-commerce/static/product/39,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",12,3,HDD (128 / 256 / 512 / 1024),2
Computers,Laptops,Dell XPS 13,1281.99,https://webscraper.io/test-sites/e-commerce/static/product/40,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4,3,HDD (128 / 256 / 512 / 1024),2
Computers,Laptops,ThinkPad X230,1244.99,https://webscraper.io/test-sites/e-commerce/static/product/41,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10,3,HDD (128 / 256 / 512 / 1024),2
Computers,Laptops,HP 250 G3,520.99,https://webscraper.io/test-sites/e-commerce/static/product/42,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",13,2,HDD (128 / 256 / 512 / 1024),2
Computers,Laptops,ThinkPad Yoga,1223.99,https://webscraper.io/test-sites/e-commerce/static/product/43,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2,3,HDD (128 / 256 / 512 / 1024),3
Computers,Laptops,HP 350 G1,577.99,https://webscraper.io/test-sites/e-commerce/static/product/44,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10,2,HDD (128 / 256 / 512 / 1024),3
